,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.28784456849098206,2.0016379356384277,0.37906137108802795,1.9393507242202759,0.0010000000474974513
1,0.5246272087097168,1.5298830270767212,0.4729241728782654,1.8969537019729614,0.0010000000474974513
2,0.6213285326957703,1.3548235893249512,0.6173285245895386,1.8286628723144531,0.0010000000474974513
3,0.7089923024177551,1.205949068069458,0.590252697467804,1.7658888101577759,0.0010000000474974513
4,0.7338454723358154,1.1292364597320557,0.6624549031257629,1.657195806503296,0.0010000000474974513
5,0.7636692523956299,1.0584954023361206,0.7148014307022095,1.562425136566162,0.0010000000474974513
6,0.7785810828208923,0.9988585114479065,0.7671480178833008,1.4298391342163086,0.0010000000474974513
7,0.8133755326271057,0.9271483421325684,0.7942238450050354,1.3256903886795044,0.0010000000474974513
8,0.8242205381393433,0.8851561546325684,0.7960288524627686,1.2304240465164185,0.0010000000474974513
9,0.8472661375999451,0.8374310731887817,0.7978339195251465,1.150224208831787,0.0010000000474974513
10,0.8563036322593689,0.8046054244041443,0.8194946050643921,1.0601310729980469,0.0010000000474974513
11,0.8630818128585815,0.7643024325370789,0.826714813709259,1.004549264907837,0.0010000000474974513
12,0.8698599338531494,0.7360334396362305,0.8375450968742371,0.9245796203613281,0.0010000000474974513
13,0.8775417804718018,0.7067053914070129,0.8429602980613708,0.8455429077148438,0.0010000000474974513
14,0.8856755495071411,0.6781017780303955,0.8592057824134827,0.7849939465522766,0.0010000000474974513
15,0.8987799286842346,0.6496795415878296,0.8592057824134827,0.7801356911659241,0.0010000000474974513
16,0.9001355767250061,0.6261731386184692,0.839350163936615,0.7436956763267517,0.0010000000474974513
17,0.8960686922073364,0.6070054173469543,0.8682310581207275,0.6885509490966797,0.0010000000474974513
18,0.9114324450492859,0.5708314180374146,0.8754512667655945,0.634642481803894,0.0010000000474974513
19,0.9132399559020996,0.554646909236908,0.8628158569335938,0.6551847457885742,0.0010000000474974513
20,0.9204699397087097,0.5280191898345947,0.8646209239959717,0.6495378613471985,0.0010000000474974513
21,0.9236330986022949,0.5199428200721741,0.8249097466468811,0.7419268488883972,0.0010000000474974513
22,0.921373724937439,0.5026815533638,0.8754512667655945,0.58370041847229,0.0010000000474974513
23,0.9313149452209473,0.4744706451892853,0.8664259910583496,0.5912064909934998,0.0010000000474974513
24,0.9240849614143372,0.4770682156085968,0.839350163936615,0.6292570233345032,0.0010000000474974513
25,0.9240849614143372,0.4528646469116211,0.8736461997032166,0.532111406326294,0.0010000000474974513
26,0.933122456073761,0.43942704796791077,0.8754512667655945,0.516783595085144,0.0010000000474974513
27,0.9389968514442444,0.4156147241592407,0.8519855737686157,0.577854335308075,0.0010000000474974513
28,0.9317668080329895,0.41618943214416504,0.8628158569335938,0.5560919642448425,0.0010000000474974513
29,0.9439674615859985,0.39468181133270264,0.8772563338279724,0.5396506190299988,0.0010000000474974513
30,0.94532310962677,0.3852215111255646,0.8754512667655945,0.5073183178901672,0.0010000000474974513
31,0.9462268352508545,0.3737333118915558,0.8483754396438599,0.560321033000946,0.0010000000474974513
32,0.94532310962677,0.3674367368221283,0.8700361251831055,0.5131186842918396,0.0010000000474974513
33,0.9539087414741516,0.3494557738304138,0.8989169597625732,0.45308157801628113,0.0010000000474974513
34,0.9548124670982361,0.33586472272872925,0.9025270938873291,0.4364767074584961,0.0010000000474974513
35,0.9575237035751343,0.325784295797348,0.8898916840553284,0.4433442950248718,0.0010000000474974513
36,0.9606868624687195,0.31158486008644104,0.9187725782394409,0.40120741724967957,0.0010000000474974513
37,0.9548124670982361,0.30945271253585815,0.9061371684074402,0.4250923693180084,0.0010000000474974513
38,0.9552643299102783,0.30268916487693787,0.9151624441146851,0.398257315158844,0.0010000000474974513
