Model,Ablation,Accuracy_train,Accuracy_predict,Loss,Time_train,Time_predict,MCC,AUC
KNN,problemall,0.9987786259541984,0.9487179487179487,0.3826905791312813,0.0061109066009521484,4.53683876991272,0.9314327240529273,0.9718385824902965
KNN,problem_gries,0.9987786259541984,0.9511599511599511,0.383415808740212,0.004442453384399414,3.5470635890960693,0.9347191817929315,0.9723003856780207
KNN,code_gries,0.9987786259541984,0.9462759462759462,0.3677460963718306,0.004645824432373047,3.547677516937256,0.9281594656903975,0.9734294472921398
KNN,gries,0.9981679389312977,0.9487179487179487,0.3682766935540487,0.003757953643798828,2.582526445388794,0.9314558638535773,0.9724065129466142
KNN,problem_code,0.9987786259541984,0.9230769230769231,0.4166089861674832,0.002913236618041992,1.777970790863037,0.8975937827990464,0.9638684090770809
KNN,code,0.9987786259541984,0.9352869352869353,0.36072829832777775,0.0018029212951660156,0.8785400390625,0.9140777146587616,0.9657206243911031
SVM,problemall,0.966412213740458,0.9023199023199023,0.3407657992666123,64.16776943206787,5.635095596313477,0.8693530166890832,0.9146666502528005
SVM,problem_gries,0.9502290076335878,0.8754578754578755,0.39716217604923804,49.50190567970276,4.38313889503479,0.8330772453887463,0.9043071064784245
SVM,code_gries,0.9627480916030534,0.8901098901098901,0.3407126265569201,46.49800205230713,4.053945064544678,0.8530341090911426,0.9173394502312985
SVM,gries,0.9435114503816794,0.8803418803418803,0.4090849538255297,33.79879951477051,2.8479130268096924,0.8392556293323317,0.8967176291624269
SVM,problem_code,0.8085496183206107,0.746031746031746,0.7368911148594605,26.995230674743652,2.157317638397217,0.6568805933584932,0.7472515743146666
SVM,code,0.7932824427480916,0.7313797313797313,0.7566317608585601,14.558553457260132,1.0660603046417236,0.6375675837083334,0.7450198527183225
MLP,problemall,0.9883969465648855,0.9413919413919414,0.3951912820339203,12.306275367736816,0.026441574096679688,0.9223034694870146,0.9512768604888339
MLP,problem_gries,0.9902290076335878,0.9499389499389499,0.4146658778190613,11.39487099647522,0.02012348175048828,0.9332994288245945,0.9476295002269363
MLP,code_gries,0.9716030534351145,0.938949938949939,0.34820809960365295,9.214895725250244,0.02604842185974121,0.918947058229875,0.9321242329380536
MLP,gries,0.9923664122137404,0.9499389499389499,0.3116602301597595,3.5150787830352783,0.0208895206451416,0.9330475943397499,0.9682017128700194
MLP,problem_code,0.9883969465648855,0.9462759462759462,0.28965023159980774,5.667245388031006,0.011766433715820312,0.9279790576740383,0.9686112102808035
MLP,code,0.9887022900763359,0.9511599511599511,0.26743653416633606,6.653989791870117,0.006772518157958984,0.9345635694396232,0.9630276450991744
Random Forest,problemall,0.9987786259541984,0.9474969474969475,0.26226375600497287,8.603071212768555,0.021754026412963867,0.929845137713522,0.9662470869734572
Random Forest,problem_gries,0.9987786259541984,0.9560439560439561,0.2571632072444875,6.891725540161133,0.01970052719116211,0.941324413206703,0.967884803439124
Random Forest,code_gries,0.9987786259541984,0.9584859584859585,0.26106184772120716,8.07226014137268,0.020815610885620117,0.9445119841487503,0.9622738360298425
Random Forest,gries,0.9981679389312977,0.9536019536019537,0.24197439169009322,6.135259628295898,0.019636869430541992,0.9379946218609664,0.9622255329095875
Random Forest,problem_code,0.997557251908397,0.938949938949939,0.40340723863929223,6.027904510498047,0.019956350326538086,0.9182492252031206,0.9495920700236022
Random Forest,code,0.9984732824427481,0.9401709401709402,0.3569684146819971,5.501366853713989,0.020120620727539062,0.9199198774813024,0.9500271698980399
Voting,problemall,0.9883969465648855,0.9218559218559218,0.2574341948736554,20.492766857147217,0.05119061470031738,0.8963999889906451,0.9610732635423435
Voting,problem_gries,0.9978625954198473,0.9487179487179487,0.20599441037518904,20.371887922286987,0.12430524826049805,0.9313499102826026,0.9666769106849006
Voting,code_gries,0.9978625954198473,0.9499389499389499,0.19169016717035603,14.307015180587769,0.045157670974731445,0.932974650999948,0.9759053069230573
Voting,gries,0.997557251908397,0.9560439560439561,0.19877938105556303,14.352004528045654,0.0388484001159668,0.9413422070145849,0.9663137836536403
Voting,problem_code,0.9948091603053435,0.945054945054945,0.2569263683354912,12.129975318908691,0.03359174728393555,0.9262852610868154,0.961815069868503
Voting,code,0.9966412213740458,0.9487179487179487,0.25221377654141774,8.987855672836304,0.03073883056640625,0.9313043587689914,0.958655059393288
Stacking,problemall,0.9984732824427481,0.9487179487179487,0.17528517798207696,97.9333131313324,0.051395416259765625,0.9313642689956557,0.9727230386114213
Stacking,problem_gries,0.9987786259541984,0.9499389499389499,0.1734600542419662,89.34422588348389,0.04253244400024414,0.9331508274966692,0.9721172504765682
Stacking,code_gries,0.9987786259541984,0.9560439560439561,0.16267570343035453,85.15204668045044,0.0448155403137207,0.9411088182748659,0.9742039982894636
Stacking,gries,0.9981679389312977,0.9536019536019537,0.1586245422906994,71.13431572914124,0.04096221923828125,0.9378694425838313,0.9708212989389746
Stacking,problem_code,0.9984732824427481,0.9584859584859585,0.17918152126707376,72.51235556602478,0.0337986946105957,0.9442662376882401,0.9695312075949544
Stacking,code,0.9987786259541984,0.9536019536019537,0.1747287350695456,50.51607275009155,0.029932260513305664,0.9376941631786817,0.9652706579260318
