,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.2914595603942871,2.0367140769958496,0.28158843517303467,1.94318425655365,0.0010000000474974513
1,0.5183009505271912,1.5830146074295044,0.4945848286151886,1.88531494140625,0.0010000000474974513
2,0.622684121131897,1.3757290840148926,0.4729241728782654,1.8113504648208618,0.0010000000474974513
3,0.6669679284095764,1.274915337562561,0.5180505514144897,1.724830985069275,0.0010000000474974513
4,0.7320379614830017,1.1642816066741943,0.6425992846488953,1.6204431056976318,0.0010000000474974513
5,0.754179835319519,1.0958622694015503,0.6227436661720276,1.5252329111099243,0.0010000000474974513
6,0.7546316981315613,1.0561041831970215,0.6552346348762512,1.4525963068008423,0.0010000000474974513
7,0.7799367308616638,0.9848103523254395,0.7021660804748535,1.353950023651123,0.0010000000474974513
8,0.7876186370849609,0.9525397419929504,0.7039711475372314,1.2405701875686646,0.0010000000474974513
9,0.7930411100387573,0.9220728278160095,0.7382671236991882,1.1051576137542725,0.0010000000474974513
10,0.8160867691040039,0.8541529178619385,0.7689530849456787,1.0452388525009155,0.0010000000474974513
11,0.8251242637634277,0.8257745504379272,0.7924187779426575,0.9346505403518677,0.0010000000474974513
12,0.8260279893875122,0.8041410446166992,0.8068591952323914,0.8956608772277832,0.0010000000474974513
13,0.8319023847579956,0.7824594974517822,0.7689530849456787,0.923048198223114,0.0010000000474974513
14,0.8431992530822754,0.7465483546257019,0.7870036363601685,0.8901842832565308,0.0010000000474974513
15,0.8237686157226562,0.7617708444595337,0.8176895380020142,0.8073090314865112,0.0010000000474974513
16,0.8463624119758606,0.7118999361991882,0.7906137108802795,0.8222161531448364,0.0010000000474974513
17,0.8581111431121826,0.6834226846694946,0.8158844709396362,0.767362654209137,0.0010000000474974513
18,0.863985538482666,0.6755209565162659,0.7924187779426575,0.7611824870109558,0.0010000000474974513
19,0.8685042858123779,0.6445590853691101,0.8231046795845032,0.7296605706214905,0.0010000000474974513
20,0.8648892641067505,0.6192304491996765,0.828519880771637,0.6934923529624939,0.0010000000474974513
21,0.866244912147522,0.6093506813049316,0.8411552309989929,0.6854291558265686,0.0010000000474974513
22,0.8730230331420898,0.5946384072303772,0.8411552309989929,0.6685657501220703,0.0010000000474974513
23,0.8685042858123779,0.5887985229492188,0.8122743964195251,0.7381646633148193,0.0010000000474974513
24,0.8852236866950989,0.5596300363540649,0.8140794038772583,0.7408088445663452,0.0010000000474974513
25,0.880704939365387,0.5561500787734985,0.8303248882293701,0.7053654789924622,0.0010000000474974513
26,0.8865792751312256,0.5351682901382446,0.8465703725814819,0.6297507286071777,0.0010000000474974513
27,0.8938093185424805,0.5175748467445374,0.8231046795845032,0.6440775394439697,0.0010000000474974513
28,0.8816086649894714,0.5216630101203918,0.8447653651237488,0.6358258128166199,0.0010000000474974513
29,0.8951649069786072,0.49961310625076294,0.8375450968742371,0.6020156145095825,0.0010000000474974513
30,0.8983280658721924,0.4794085621833801,0.8718411326408386,0.5365838408470154,0.0010000000474974513
31,0.904654324054718,0.4655245840549469,0.8519855737686157,0.5726463794708252,0.0010000000474974513
32,0.8906461596488953,0.4810556173324585,0.8592057824134827,0.5783549547195435,0.0010000000474974513
33,0.906913697719574,0.4522817134857178,0.8303248882293701,0.6052068471908569,0.0010000000474974513
34,0.9005874395370483,0.4404221177101135,0.8375450968742371,0.598537266254425,0.0010000000474974513
35,0.8992317914962769,0.44200029969215393,0.8592057824134827,0.5774049162864685,0.0010000000474974513
36,0.9028468132019043,0.43841424584388733,0.8375450968742371,0.590361475944519,0.0010000000474974513
37,0.9132399559020996,0.41361355781555176,0.8610108494758606,0.531772792339325,0.0010000000474974513
38,0.906913697719574,0.4110129773616791,0.8447653651237488,0.547379195690155,0.0010000000474974513
39,0.919114351272583,0.39604946970939636,0.8628158569335938,0.5324329733848572,0.0010000000474974513
40,0.921373724937439,0.38520902395248413,0.8646209239959717,0.5720622539520264,0.0010000000474974513
41,0.91640305519104,0.3827134072780609,0.8447653651237488,0.5512723326683044,0.0010000000474974513
42,0.9267961978912354,0.3572806119918823,0.8501805067062378,0.5377083420753479,0.0010000000474974513
43,0.9322187304496765,0.3528669774532318,0.8754512667655945,0.5275912880897522,0.0010000000474974513
